汤面,汤底,问,答,,,,,,,,,,,,,,,,
"2005年
H市,自打胡七二记事起爷爷就躺在病床上,他睁着眼睛,一动不动,也不需要进食或排泄。世界上任何医生都无法解释这一现象。
2006年
父亲和胡七二说爷爷曾是摸金校尉,有一次他被抬回来,就变成了这样。
爷爷留下了摸金秘术,胡七二时常翻看。父亲发现后严肃的和胡七二说:""不要走你爷爷老路""。 2015年
爷爷闭上眼睛了,也没有心跳,大家都以为他死了,可他嘴里却开始发出恶魔般的低吼,连绵不绝,永不停歇,格外的吓人。
2016年
胡七二成为了一名摸金校尉。
摸金秘术中有爷爷临摹的地图,胡七二按照路线到了一个存在于海底的墓穴,墓门被锁上了,碑上刻着小篆:“受始皇帝之命,寻永生不死之法。”
2025年
爷爷睁开了眼睛,也不再发出恶魔般的低吼了。
胡七二在整理爷爷房间时发现了一把被黄纸包着的钥匙,黄纸上写着:永生不死 
2026年
胡七二又一次去了墓中。
与此同时,H市出现了很多灵异事件。
胡七二家的地上密密麻麻的写满了:救命!
而墓中没有尸体,地上有一面恰好镜面朝上的镜子。","关于爷爷:
自打我记事起,爷爷就躺在病床上,父亲和我说,爷爷曾经是一名模金校尉,他的一生都在寻找关于永生的秘密。
爷爷的现象很奇怪,他在床上一动不动,甚至不需要进食或排泄。
经过我们二十年的观察,我发现爷爷并不是一动不动,他好像在很""缓
慢""的活着。
十年前,他缓慢的闭上了眼睛,十年后又缓慢的睁开了眼睛。
他好像在眨眼!而这一过程,用了二十年!
专家们对爷爷的情况很好奇,由于爷爷有十年时间一直在低吼,他们把
爷爷的低吼录制了下来,并将音轨进行了加速处理。
十倍,百倍,千倍,万倍,亿倍!直到加速了几亿倍,
他们终于翻译出了这句低吼:“救命!”
爷爷身上的时间流速被减缓了几亿倍!
在正常人眼里,他的确永生了,或许他能活到宇宙泯灭。
关于胡七二
我从小翻看爷爷留下的《摸金秘术》,对摸金产生了极大的兴趣。在我十八岁那年,我按照爷爷在书中留下的一张地图,开启了属于我的冒险。
第一次我无功而返,几年后却无意中发现了爷爷留下来的钥匙,我再次出发了。
棺中无S,躺着一面透露着妖异的邪镜,正反两面都是镜面。
我被吸引,诡使神差的用镜子照了自己一下。
无事发生,但邪镜从我手中脱落,我发现我再也无法触碰到它了
返回的途中,我发现有些不对,等我的司机一动不动的定在了车内,甚至天空中的鸟也展翅停在空中。
我回到H市,整个世界的生物甚至事物都一动不动。
世界好像被静止了
我在时间停止的世界里想尽办法求救,都无功而返。
而且我意识到,他们并不是停止,而是和在""缓慢""的活着。
或者说,世界没变,而我才是不正常的。
我身上的时间流速被加速了几亿倍!
H市出现了许多灵异事件,其实都是我在几秒内造成的(改变了物体轨迹）
因为我在孤寂中,独自生活了八十年。

关于邪镜(除功能外不需要盘)
据《史记·秦始皇本纪》记载,秦始皇二十八年派徐福出海,寻找仙山
上的神仙,求取长生不老药。
(以下为杜撰)徐福寻到传说中的昆仑仙山,此地为西王母居所。徐福在此得到一双面宝镜,其上携刻太乙玄纹,拥有操控时空的神力
名曰:昆仑镜

其正面可将""映射之物""时间放缓亿倍
其反面可将""映射之物""时间加快亿倍

徐福不小心被映入镜中,随后消失了。
地上多了一张徐福留下的字条,随从按照字条上徐福的要求小心的封存了宝镜。
并为徐福在某处修建了陵墓,宝镜一同封入墓中
千年后,陵墓早已被上涨的海平面吞没,或许再也无人能发现这面昆仑镜。",这个故事是变格推理么,是,,,,,,,,,,,,,,,,
,,镜子是有什么功能吗,是,,,,,,,,,,,,,,,,
,,05年的爷爷是照了镜子才导致他成现在这样的吗,是,,,,,,,,,,,,,,,,
,,这个故事中存在穿越元素吗,不是,,,,,,,,,,,,,,,,
,,这个镜子有让人永生的功能吗,不是,,,,,,,,,,,,,,,,
,,永生不死之法是存在的吗,是也不是,,,,,,,,,,,,,,,,
,,爷爷是永生不死的吗,是也不是, ,,,,,,,,,,,,,,,
,,故事中存在粽子（僵尸）吗,不是,,,,,,,,,,,,,,,,
,,故事中存在魂魄吗,不是,,,,,,,,,,,,,,,,
,,H市真的存在灵异事件吗,不是,,,,,,,,,,,,,,,,
,,“救命”是胡七二写的吗,是,,,,,,,,,,,,,,,,
,,H市的灵异事件是胡七二造成的吗,是,,,,,,,,,,,,,,,,
,,胡七二死了吗,是也不是,,,,,,,,,,,,,,,,
,,2026年的胡七二死了吗,是也不是,,,,,,,,,,,,,,,,
,,恶魔的低吼是爷爷发出的吗,是,,,,,,,,,,,,,,,,
,,爷爷身上存在其他生物吗,不是,,,,,,,,,,,,,,,,
,,爷爷的低吼是在传达什么吗,是,,,,,,,,,,,,,,,,
,,胡七二照镜子了吗,是,,,,,,,,,,,,,,,,
,,爷爷死了吗,不是,,,,,,,,,,,,,,,,
,,镜子只有一个功能吗,不是,,,,,,,,,,,,,,,,
,,故事中存在其他世界吗,不是,,,,,,,,,,,,,,,,
,,胡七二永生了吗,不是,,,,,,,,,,,,,,,,
,,故事中存在其他维度吗,不是,,,,,,,,,,,,,,,,
,,有人故意让镜面朝上吗,不是,,,,,,,,,,,,,,,,
,,镜子的镜面只会朝上吗,是,,,,,,,,,,,,,,,,
,,镜子背面有什么东西吗,是也不是,,,,,,,,,,,,,,,,
,,镜子是不是两面都是镜面,是,关键,,,,,,,,,,,,,,,
,,爷爷以另一种状态永生了吗,不是,,,,,,,,,,,,,,,,
,,爷爷真的不需要进食或排泄吗,不是,,,,,,,,,,,,,,,,
,,爷爷真的是一动不动吗,不是,,,,,,,,,,,,,,,,
,,爷爷是在伪装吗,不是,,,,,,,,,,,,,,,,
,,故事中存在时间元素吗,是,关键,,,,,,,,,,,,,,,
,,爷爷的时间流速是正常的吗,不是,核心,,,,,,,,,,,,,,,
,,爷爷的时间流速是不是被放慢了,是,核心,,,,,,,,,,,,,,,
,,爷爷的低吼加速后是正常的一句话吗,是,,,,,,,,,,,,,,,,
